FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187d53d4470_cbc,5334002,1001,Abteiplatz
strassennamen.fid--3213a59_187d53d4470_cbd,5334002,1002,Abteistraße
strassennamen.fid--3213a59_187d53d4470_cbe,5334002,1004,Achterstraße
strassennamen.fid--3213a59_187d53d4470_cbf,5334002,1005,Adalbert-Stifter-Straße
strassennamen.fid--3213a59_187d53d4470_cc0,5334002,1006,Adalbertsberg
strassennamen.fid--3213a59_187d53d4470_cc1,5334002,1008,Adalbertstift
strassennamen.fid--3213a59_187d53d4470_cc2,5334002,1009,Adalbertstraße
strassennamen.fid--3213a59_187d53d4470_cc3,5334002,1011,Adlerberg
strassennamen.fid--3213a59_187d53d4470_cc4,5334002,1012,Nelly-Sachs-Straße
strassennamen.fid--3213a59_187d53d4470_cc5,5334002,1013,Ahornstraße
strassennamen.fid--3213a59_187d53d4470_cc6,5334002,1014,Albert-Maas-Straße
strassennamen.fid--3213a59_187d53d4470_cc7,5334002,1015,Alexanderstraße
strassennamen.fid--3213a59_187d53d4470_cc8,5334002,1016,Alexianergraben
strassennamen.fid--3213a59_187d53d4470_cc9,5334002,1017,Alfonsstraße
strassennamen.fid--3213a59_187d53d4470_cca,5334002,1018,Alkuinstraße
strassennamen.fid--3213a59_187d53d4470_ccb,5334002,1019,Alsenstraße
strassennamen.fid--3213a59_187d53d4470_ccc,5334002,1020,Altdorfstraße
strassennamen.fid--3213a59_187d53d4470_ccd,5334002,1023,Altstraße
strassennamen.fid--3213a59_187d53d4470_cce,5334002,1024,Altenberger Straße
strassennamen.fid--3213a59_187d53d4470_ccf,5334002,1025,Am Backes
strassennamen.fid--3213a59_187d53d4470_cd0,5334002,1026,Am Beverbach
strassennamen.fid--3213a59_187d53d4470_cd1,5334002,1028,Am Blockhaus
strassennamen.fid--3213a59_187d53d4470_cd2,5334002,1029,Am Branderhof
strassennamen.fid--3213a59_187d53d4470_cd3,5334002,1030,Ambrosiusstraße
strassennamen.fid--3213a59_187d53d4470_cd4,5334002,1031,Am Chorusberg
strassennamen.fid--3213a59_187d53d4470_cd5,5334002,1032,Am Dorbach
strassennamen.fid--3213a59_187d53d4470_cd6,5334002,1033,Am Friedrich
strassennamen.fid--3213a59_187d53d4470_cd7,5334002,1034,Am Hangeweiher
strassennamen.fid--3213a59_187d53d4470_cd8,5334002,1035,Am Hasselholz
strassennamen.fid--3213a59_187d53d4470_cd9,5334002,1036,Am Höfling
strassennamen.fid--3213a59_187d53d4470_cda,5334002,1037,Am Hügel
strassennamen.fid--3213a59_187d53d4470_cdb,5334002,1038,Karolingerstraße
strassennamen.fid--3213a59_187d53d4470_cdc,5334002,1039,Elleterweg
strassennamen.fid--3213a59_187d53d4470_cdd,5334002,1040,Am Kupferofen
strassennamen.fid--3213a59_187d53d4470_cde,5334002,1041,Am Lavenstein
strassennamen.fid--3213a59_187d53d4470_cdf,5334002,1042,Am Neuenhof
strassennamen.fid--3213a59_187d53d4470_ce0,5334002,1043,Am Pappelweiher
strassennamen.fid--3213a59_187d53d4470_ce1,5334002,1044,Am Roskapellchen
strassennamen.fid--3213a59_187d53d4470_ce2,5334002,1045,Am Römerhof
strassennamen.fid--3213a59_187d53d4470_ce3,5334002,1046,Friedrichweg
strassennamen.fid--3213a59_187d53d4470_ce4,5334002,1047,Alter Landgraben
strassennamen.fid--3213a59_187d53d4470_ce5,5334002,1048,Am Viadukt
strassennamen.fid--3213a59_187d53d4470_ce6,5334002,1049,Am Wassersprung
strassennamen.fid--3213a59_187d53d4470_ce7,5334002,1050,Am Weberhof
strassennamen.fid--3213a59_187d53d4470_ce8,5334002,1051,Am Weißenberg
strassennamen.fid--3213a59_187d53d4470_ce9,5334002,1052,Am Wolf
strassennamen.fid--3213a59_187d53d4470_cea,5334002,1054,Am Ziegelweiher
strassennamen.fid--3213a59_187d53d4470_ceb,5334002,1055,An den Birkenweiden
strassennamen.fid--3213a59_187d53d4470_cec,5334002,1056,An den Finkenweiden
strassennamen.fid--3213a59_187d53d4470_ced,5334002,1057,An den Frauenbrüdern
strassennamen.fid--3213a59_187d53d4470_cee,5334002,1058,An den Wurmquellen
strassennamen.fid--3213a59_187d53d4470_cef,5334002,1059,An der Ellermühle
strassennamen.fid--3213a59_187d53d4470_cf0,5334002,1060,Ginsterbrücksweg
strassennamen.fid--3213a59_187d53d4470_cf1,5334002,1061,An der Junkersmühle
strassennamen.fid--3213a59_187d53d4470_cf2,5334002,1062,An der Kulprie
strassennamen.fid--3213a59_187d53d4470_cf3,5334002,1063,An der Schanz
strassennamen.fid--3213a59_187d53d4470_cf4,5334002,1064,Andréstraße
strassennamen.fid--3213a59_187d53d4470_cf5,5334002,1065,Am Gut Wolf
strassennamen.fid--3213a59_187d53d4470_cf6,5334002,1067,Am Adamshäuschen
strassennamen.fid--3213a59_187d53d4470_cf7,5334002,1068,Annuntiatenbach
strassennamen.fid--3213a59_187d53d4470_cf8,5334002,1069,An der Kapelle
strassennamen.fid--3213a59_187d53d4470_cf9,5334002,1070,Am Tivoli
strassennamen.fid--3213a59_187d53d4470_cfa,5334002,1071,Antoniusstraße
strassennamen.fid--3213a59_187d53d4470_cfb,5334002,1072,Grünweg
strassennamen.fid--3213a59_187d53d4470_cfc,5334002,1074,Hühnertalweg
strassennamen.fid--3213a59_187d53d4470_cfd,5334002,1075,Arndtstraße
strassennamen.fid--3213a59_187d53d4470_cfe,5334002,1076,Karlshof
strassennamen.fid--3213a59_187d53d4470_cff,5334002,1077,Arnoldstraße
strassennamen.fid--3213a59_187d53d4470_d00,5334002,1078,Karlstreppe
strassennamen.fid--3213a59_187d53d4470_d01,5334002,1079,Arthur-Kampf-Straße
strassennamen.fid--3213a59_187d53d4470_d02,5334002,1080,Atherstraße
strassennamen.fid--3213a59_187d53d4470_d03,5334002,1081,Auf Beverau
strassennamen.fid--3213a59_187d53d4470_d04,5334002,1082,Auf dem Plue
strassennamen.fid--3213a59_187d53d4470_d05,5334002,1083,Auf der Hörn
strassennamen.fid--3213a59_187d53d4470_d06,5334002,1084,Auf der Hüls
strassennamen.fid--3213a59_187d53d4470_d07,5334002,1085,Auf Krummerück
strassennamen.fid--3213a59_187d53d4470_d08,5334002,1086,Auf Vogelsang
strassennamen.fid--3213a59_187d53d4470_d09,5334002,1088,Augustinerbach
strassennamen.fid--3213a59_187d53d4470_d0a,5334002,1089,Augustinergasse
strassennamen.fid--3213a59_187d53d4470_d0b,5334002,1090,Augustinerplatz
strassennamen.fid--3213a59_187d53d4470_d0c,5334002,1091,Aureliusstraße
strassennamen.fid--3213a59_187d53d4470_d0d,5334002,1092,Aussemstraße
strassennamen.fid--3213a59_187d53d4470_d0e,5334002,1093,Austraße
strassennamen.fid--3213a59_187d53d4470_d0f,5334002,1094,Katzenpützweg
strassennamen.fid--3213a59_187d53d4470_d10,5334002,1095,Bachstraße
strassennamen.fid--3213a59_187d53d4470_d11,5334002,1096,Bädersteig
strassennamen.fid--3213a59_187d53d4470_d12,5334002,1097,Bärenstraße
strassennamen.fid--3213a59_187d53d4470_d13,5334002,1098,Bahnhofplatz
strassennamen.fid--3213a59_187d53d4470_d14,5334002,1099,Bahnhofstraße
strassennamen.fid--3213a59_187d53d4470_d15,5334002,1101,Barbarastraße
strassennamen.fid--3213a59_187d53d4470_d16,5334002,1102,Barbarossaplatz
strassennamen.fid--3213a59_187d53d4470_d17,5334002,1103,Klausbergweg
strassennamen.fid--3213a59_187d53d4470_d18,5334002,1104,Bayernallee
strassennamen.fid--3213a59_187d53d4470_d19,5334002,1105,Kreuzertal
strassennamen.fid--3213a59_187d53d4470_d1a,5334002,1106,Beeckstraße
strassennamen.fid--3213a59_187d53d4470_d1b,5334002,1107,Beethovenstraße
strassennamen.fid--3213a59_187d53d4470_d1c,5334002,1108,Merlepützweg
strassennamen.fid--3213a59_187d53d4470_d1d,5334002,1109,Beginenstraße
strassennamen.fid--3213a59_187d53d4470_d1e,5334002,1110,Moresneter Weg
strassennamen.fid--3213a59_187d53d4470_d1f,5334002,1111,Bendelstraße
strassennamen.fid--3213a59_187d53d4470_d20,5334002,1112,Bendstraße
strassennamen.fid--3213a59_187d53d4470_d21,5334002,1113,Benediktinerstraße
strassennamen.fid--3213a59_187d53d4470_d22,5334002,1114,Oberer Backertsweg
strassennamen.fid--3213a59_187d53d4470_d23,5334002,1115,Bergdriesch
strassennamen.fid--3213a59_187d53d4470_d24,5334002,1116,Bergische Gasse
strassennamen.fid--3213a59_187d53d4470_d25,5334002,1117,Bergstraße
strassennamen.fid--3213a59_187d53d4470_d26,5334002,1118,Osterweg
strassennamen.fid--3213a59_187d53d4470_d27,5334002,1119,Kaltbachgässchen
strassennamen.fid--3213a59_187d53d4470_d28,5334002,1120,Philippionsweg
strassennamen.fid--3213a59_187d53d4470_d29,5334002,1121,Revierweg
strassennamen.fid--3213a59_187d53d4470_d2a,5334002,1122,Bertholdstraße
strassennamen.fid--3213a59_187d53d4470_d2b,5334002,1123,Rotsiefweg
strassennamen.fid--3213a59_187d53d4470_d2c,5334002,1124,Beverstraße
strassennamen.fid--3213a59_187d53d4470_d2d,5334002,1125,Birkengrund
strassennamen.fid--3213a59_187d53d4470_d2e,5334002,1126,Kopernikusstraße
strassennamen.fid--3213a59_187d53d4470_d2f,5334002,1127,Hirschweg
strassennamen.fid--3213a59_187d53d4470_d30,5334002,1128,Bischofstraße
strassennamen.fid--3213a59_187d53d4470_d31,5334002,1129,Natternweg
strassennamen.fid--3213a59_187d53d4470_d32,5334002,1131,Südweg
strassennamen.fid--3213a59_187d53d4470_d33,5334002,1133,Trappenweg
strassennamen.fid--3213a59_187d53d4470_d34,5334002,1135,Tunnelweg
strassennamen.fid--3213a59_187d53d4470_d35,5334002,1136,Blücherplatz
strassennamen.fid--3213a59_187d53d4470_d36,5334002,1137,Simpelvelder Straße
strassennamen.fid--3213a59_187d53d4470_d37,5334002,1138,Bodelschwinghstraße
strassennamen.fid--3213a59_187d53d4470_d38,5334002,1139,Vossenweg
strassennamen.fid--3213a59_187d53d4470_d39,5334002,1140,Bonifatiusweg
strassennamen.fid--3213a59_187d53d4470_d3a,5334002,1142,Borchersstraße
strassennamen.fid--3213a59_187d53d4470_d3b,5334002,1150,Breslauer Straße
